TransactionDate,Appears On Your Statement As,Name,Account,Amount,Category,Payment Account 
09/30/2025,2000 HAND CAR WASH FRESH MEADOWS NY,N/A,N/A,57.97,Transportation-Fuel,Amex xxx5001
09/30/2025,ADOBE ACRO PRO,N/A,N/A,19.99,Software,Amex xxx5001
09/29/2025,AMAZON WEB SERVICES AWS.AMAZON.CO WA,N/A,N/A,150.45,Hosting,Amex xxx5001
09/28/2025,DELTA AIRLINES FLIGHT 123,N/A,N/A,453.21,Travel,Amex xxx5001
09/27/2025,PAYMENT FROM STRIPE - ACME INC,N/A,N/A,-2500.00,Income,Bank Account
09/26/2025,STARBUCKS COFFEE #554,N/A,N/A,12.50,Meals & Entertainment,Amex xxx5001
09/25/2025,UBER TRIP,N/A,N/A,25.60,Transportation,Amex xxx5001
09/24/2025,OFFICE DEPOT STORE #123,N/A,N/A,89.90,Office Supplies,Amex xxx5001
09/23/2025,GOOGLE *GSUITE,N/A,N/A,12.00,Software,Amex xxx5001
09/22/2025,PAYMENT RECEIVED - CLIENT ABC,N/A,N/A,-5000.00,Income,Bank Account
